Date,Sales Value,Type of Sales
2016-01-01,21539936.0074994,Existing Store Forecast
2016-02-01,20413770.6013595,Existing Store Forecast
2016-03-01,24325953.0976278,Existing Store Forecast
2016-04-01,22993466.3485849,Existing Store Forecast
2016-05-01,26691951.4191559,Existing Store Forecast
2016-06-01,26989964.0105518,Existing Store Forecast
2016-07-01,26948630.7647638,Existing Store Forecast
2016-08-01,24091579.3491059,Existing Store Forecast
2016-09-01,20523492.4086428,Existing Store Forecast
2016-10-01,20011748.6685998,Existing Store Forecast
2016-11-01,21177435.4858385,Existing Store Forecast
2016-12-01,20855799.1096099,Existing Store Forecast
