Date,Sales Value,Type of Sales
2012-03-01,225673.98,Historical
2012-04-01,209257.48,Historical
2012-05-01,239711.93,Historical
2012-06-01,249080.61,Historical
2012-07-01,241885.27,Historical
2012-08-01,219766.45,Historical
2012-09-01,178874.76,Historical
2012-10-01,177484.49,Historical
2012-11-01,180675.77,Historical
2012-12-01,189645.21,Historical
2013-01-01,168295.47,Historical
2013-02-01,162988.34,Historical
2013-03-01,196682.68,Historical
2013-04-01,183923.56,Historical
2013-05-01,199163.33,Historical
2013-06-01,215567.34,Historical
2013-07-01,235252.47,Historical
2013-08-01,185553.61,Historical
2013-09-01,178775.18,Historical
2013-10-01,158301.6,Historical
2013-11-01,171555.56,Historical
2013-12-01,195937.69,Historical
2014-01-01,186961.02,Historical
2014-02-01,176289.94,Historical
2014-03-01,202253.56,Historical
2014-04-01,189098.1,Historical
2014-05-01,217438.55,Historical
2014-06-01,208491.59,Historical
2014-07-01,208292.65,Historical
2014-08-01,185866.72,Historical
2014-09-01,153864.55,Historical
2014-10-01,162062.69,Historical
2014-11-01,164032.75,Historical
2014-12-01,169510.32,Historical
2015-01-01,176500.67,Historical
2015-02-01,174706.91,Historical
2015-03-01,218993.52,Historical
2015-04-01,169020.76,Historical
2015-05-01,212767.84,Historical
2015-06-01,224984.23,Historical
2015-07-01,223336.07,Historical
2015-08-01,194610.94,Historical
2015-09-01,169414.44,Historical
2015-10-01,168859.19,Historical
2015-11-01,181650.48,Historical
2015-12-01,169543.65,Historical
2012-03-01,180807.28,Historical
2012-04-01,177368.09,Historical
2012-05-01,192246.74,Historical
2012-06-01,194825.62,Historical
2012-07-01,188189.39,Historical
2012-08-01,172259.24,Historical
2012-09-01,141414,Historical
2012-10-01,141105.38,Historical
2012-11-01,140931.96,Historical
2012-12-01,143954.54,Historical
2013-01-01,135158.26,Historical
2013-02-01,131221.32,Historical
2013-03-01,154101.28,Historical
2013-04-01,139567.44,Historical
2013-05-01,152378.35,Historical
2013-06-01,164978.69,Historical
2013-07-01,180168.14,Historical
2013-08-01,147482.11,Historical
2013-09-01,140954.89,Historical
2013-10-01,129536.48,Historical
2013-11-01,134687.38,Historical
2013-12-01,140576.89,Historical
2014-01-01,141978.18,Historical
2014-02-01,130062.1,Historical
2014-03-01,146359.8,Historical
2014-04-01,137803.87,Historical
2014-05-01,160416.88,Historical
2014-06-01,156955.14,Historical
2014-07-01,155908.51,Historical
2014-08-01,135247.51,Historical
2014-09-01,110463.6,Historical
2014-10-01,119548.06,Historical
2014-11-01,114288.36,Historical
2014-12-01,114268.9,Historical
2015-01-01,136668.61,Historical
2015-02-01,128012.95,Historical
2015-03-01,159714.1,Historical
2015-04-01,132603.4,Historical
2015-05-01,160135,Historical
2015-06-01,179599.44,Historical
2015-07-01,177827.72,Historical
2015-08-01,147894.83,Historical
2015-09-01,133978.91,Historical
2015-10-01,128491.04,Historical
2015-11-01,140368.73,Historical
2015-12-01,129998.42,Historical
2012-03-01,414220.35,Historical
2012-04-01,405416.28,Historical
2012-05-01,449128.53,Historical
2012-06-01,429226.21,Historical
2012-07-01,441235.73,Historical
2012-08-01,392753.88,Historical
2012-09-01,332275.2,Historical
2012-10-01,313383.37,Historical
2012-11-01,332345.77,Historical
2012-12-01,347721.92,Historical
2013-01-01,300566.66,Historical
2013-02-01,295395.58,Historical
2013-03-01,337335,Historical
2013-04-01,305505.81,Historical
2013-05-01,323680.65,Historical
2013-06-01,347987.66,Historical
2013-07-01,380577.1,Historical
2013-08-01,316214.97,Historical
2013-09-01,299526.17,Historical
2013-10-01,262368.93,Historical
2013-11-01,295597.18,Historical
2013-12-01,323623.33,Historical
2014-01-01,330795.78,Historical
2014-02-01,297150.36,Historical
2014-03-01,316352.19,Historical
2014-04-01,277472.3,Historical
2014-05-01,339340.63,Historical
2014-06-01,312395.03,Historical
2014-07-01,302903.33,Historical
2014-08-01,286636.43,Historical
2014-09-01,231304.09,Historical
2014-10-01,245604.67,Historical
2014-11-01,245400.02,Historical
2014-12-01,252202.41,Historical
2015-01-01,305208.25,Historical
2015-02-01,306194.49,Historical
2015-03-01,369781.97,Historical
2015-04-01,296864.52,Historical
2015-05-01,356992.38,Historical
2015-06-01,368092.88,Historical
2015-07-01,370799.2,Historical
2015-08-01,318219.38,Historical
2015-09-01,269514.86,Historical
2015-10-01,274197.96,Historical
2015-11-01,290358.17,Historical
2015-12-01,265918.97,Historical
2012-03-01,318089.78,Historical
2012-04-01,311692.39,Historical
2012-05-01,339935.6,Historical
2012-06-01,355413.89,Historical
2012-07-01,356866.22,Historical
2012-08-01,310997.48,Historical
2012-09-01,254855.38,Historical
2012-10-01,256068.96,Historical
2012-11-01,256572.76,Historical
2012-12-01,288554.96,Historical
2013-01-01,229652.41,Historical
2013-02-01,225109.69,Historical
2013-03-01,258233.95,Historical
2013-04-01,247833.91,Historical
2013-05-01,257225.6,Historical
2013-06-01,278541.88,Historical
2013-07-01,298469.3,Historical
2013-08-01,243710.76,Historical
2013-09-01,235322.97,Historical
2013-10-01,206046.89,Historical
2013-11-01,226589.57,Historical
2013-12-01,267935.79,Historical
2014-01-01,275142.85,Historical
2014-02-01,339475.98,Historical
2014-03-01,321344.2,Historical
2014-04-01,305288.81,Historical
2014-05-01,366471.69,Historical
2014-06-01,331698.25,Historical
2014-07-01,327153.21,Historical
2014-08-01,287704.65,Historical
2014-09-01,246887.56,Historical
2014-10-01,279882.41,Historical
2014-11-01,275461.13,Historical
2014-12-01,283133.98,Historical
2015-01-01,229020.78,Historical
2015-02-01,222253.25,Historical
2015-03-01,270078.21,Historical
2015-04-01,212688.74,Historical
2015-05-01,263765.44,Historical
2015-06-01,279416.68,Historical
2015-07-01,263650.23,Historical
2015-08-01,219539.21,Historical
2015-09-01,189958.83,Historical
2015-10-01,202815.38,Historical
2015-11-01,220509.94,Historical
2015-12-01,229115.19,Historical
2012-03-01,347365.79,Historical
2012-04-01,337536.25,Historical
2012-05-01,378403.65,Historical
2012-06-01,378595.36,Historical
2012-07-01,388291.33,Historical
2012-08-01,346365.56,Historical
2012-09-01,320655.66,Historical
2012-10-01,311395.77,Historical
2012-11-01,321247.84,Historical
2012-12-01,310025.68,Historical
2013-01-01,302452.52,Historical
2013-02-01,282639.3,Historical
2013-03-01,319497.13,Historical
2013-04-01,329259.81,Historical
2013-05-01,379000.24,Historical
2013-06-01,405740.33,Historical
2013-07-01,427490.57,Historical
2013-08-01,366382.59,Historical
2013-09-01,343406.83,Historical
2013-10-01,260572.97,Historical
2013-11-01,285988.15,Historical
2013-12-01,280606.98,Historical
2014-01-01,327350.94,Historical
2014-02-01,321168.88,Historical
2014-03-01,354534.88,Historical
2014-04-01,343982.96,Historical
2014-05-01,394813.53,Historical
2014-06-01,365023.73,Historical
2014-07-01,356731.28,Historical
2014-08-01,336361.66,Historical
2014-09-01,296595.59,Historical
2014-10-01,311624.76,Historical
2014-11-01,306740.64,Historical
2014-12-01,283836.94,Historical
2015-01-01,273002.21,Historical
2015-02-01,265895.31,Historical
2015-03-01,320928.33,Historical
2015-04-01,301503.46,Historical
2015-05-01,336246.68,Historical
2015-06-01,352681.46,Historical
2015-07-01,324129.63,Historical
2015-08-01,279719.62,Historical
2015-09-01,269136.49,Historical
2015-10-01,271958.13,Historical
2015-11-01,349996.65,Historical
2015-12-01,303111.05,Historical
2012-03-01,319103.84,Historical
2012-04-01,321612.06,Historical
2012-05-01,364208.42,Historical
2012-06-01,377469.43,Historical
2012-07-01,382158.58,Historical
2012-08-01,313715.66,Historical
2012-09-01,272174.54,Historical
2012-10-01,267090.65,Historical
2012-11-01,282580.56,Historical
2012-12-01,308000.22,Historical
2013-01-01,256977.72,Historical
2013-02-01,256384.89,Historical
2013-03-01,295665.15,Historical
2013-04-01,279592.15,Historical
2013-05-01,301533.88,Historical
2013-06-01,333316.4,Historical
2013-07-01,372099.35,Historical
2013-08-01,290168.4,Historical
2013-09-01,271283.07,Historical
2013-10-01,241036.88,Historical
2013-11-01,257594.56,Historical
2013-12-01,292080.08,Historical
2014-01-01,272299.61,Historical
2014-02-01,266930.56,Historical
2014-03-01,302455.81,Historical
2014-04-01,278369.58,Historical
2014-05-01,341516.72,Historical
2014-06-01,317730.87,Historical
2014-07-01,328573.45,Historical
2014-08-01,269377.55,Historical
2014-09-01,230455.5,Historical
2014-10-01,245377.25,Historical
2014-11-01,236216.92,Historical
2014-12-01,244869.19,Historical
2015-01-01,263358.36,Historical
2015-02-01,275135.02,Historical
2015-03-01,351706.2,Historical
2015-04-01,274610.03,Historical
2015-05-01,336423.39,Historical
2015-06-01,359935.99,Historical
2015-07-01,335026.64,Historical
2015-08-01,291230.68,Historical
2015-09-01,263607.38,Historical
2015-10-01,259494.96,Historical
2015-11-01,258834.2,Historical
2015-12-01,254882.74,Historical
2012-03-01,358683.89,Historical
2012-04-01,342127.87,Historical
2012-05-01,402085.27,Historical
2012-06-01,383449.26,Historical
2012-07-01,377388.52,Historical
2012-08-01,361449.21,Historical
2012-09-01,304740.19,Historical
2012-10-01,294539.69,Historical
2012-11-01,298463.65,Historical
2012-12-01,302016.25,Historical
2013-01-01,280984.89,Historical
2013-02-01,264429.83,Historical
2013-03-01,296336.84,Historical
2013-04-01,276212.93,Historical
2013-05-01,296691.77,Historical
2013-06-01,320928.42,Historical
2013-07-01,354541.46,Historical
2013-08-01,310261.4,Historical
2013-09-01,277512.46,Historical
2013-10-01,239976.86,Historical
2013-11-01,250758.97,Historical
2013-12-01,259454.18,Historical
2014-01-01,269262.49,Historical
2014-02-01,246373.97,Historical
2014-03-01,278858.35,Historical
2014-04-01,267305.04,Historical
2014-05-01,309762.29,Historical
2014-06-01,299164.55,Historical
2014-07-01,292728.03,Historical
2014-08-01,274093.68,Historical
2014-09-01,229933.09,Historical
2014-10-01,239030.21,Historical
2014-11-01,236153.69,Historical
2014-12-01,242162.82,Historical
2015-01-01,237605.68,Historical
2015-02-01,232129.18,Historical
2015-03-01,276716.03,Historical
2015-04-01,251251.24,Historical
2015-05-01,301960.68,Historical
2015-06-01,318474.66,Historical
2015-07-01,306808.99,Historical
2015-08-01,275635.99,Historical
2015-09-01,249357.13,Historical
2015-10-01,240979.3,Historical
2015-11-01,258834.08,Historical
2015-12-01,242935.99,Historical
2012-03-01,324595.3,Historical
2012-04-01,320632.52,Historical
2012-05-01,337155.49,Historical
2012-06-01,339147.24,Historical
2012-07-01,351071.64,Historical
2012-08-01,332482.58,Historical
2012-09-01,296726.75,Historical
2012-10-01,286206.23,Historical
2012-11-01,290973.48,Historical
2012-12-01,287600.85,Historical
2013-01-01,274834.79,Historical
2013-02-01,270909.83,Historical
2013-03-01,302080.53,Historical
2013-04-01,274102.58,Historical
2013-05-01,293112.21,Historical
2013-06-01,308477.03,Historical
2013-07-01,335832.13,Historical
2013-08-01,304280.31,Historical
2013-09-01,294771.91,Historical
2013-10-01,261945.91,Historical
2013-11-01,272610.09,Historical
2013-12-01,272726.49,Historical
2014-01-01,308351.73,Historical
2014-02-01,304964.71,Historical
2014-03-01,328786.7,Historical
2014-04-01,313410.97,Historical
2014-05-01,350617.37,Historical
2014-06-01,326595.95,Historical
2014-07-01,324225.87,Historical
2014-08-01,308445.38,Historical
2014-09-01,274347.73,Historical
2014-10-01,281557.64,Historical
2014-11-01,273608.43,Historical
2014-12-01,258632.06,Historical
2015-01-01,265821.76,Historical
2015-02-01,266723.3,Historical
2015-03-01,320946.68,Historical
2015-04-01,290550.07,Historical
2015-05-01,314080.06,Historical
2015-06-01,343086.76,Historical
2015-07-01,348199.36,Historical
2015-08-01,316173.89,Historical
2015-09-01,290211.69,Historical
2015-10-01,282892.42,Historical
2015-11-01,305418.65,Historical
2015-12-01,265587.52,Historical
2012-05-01,229053.54,Historical
2012-06-01,478760.84,Historical
2012-07-01,437128.7,Historical
2012-08-01,350855.8,Historical
2012-09-01,299339.97,Historical
2012-10-01,298474.5,Historical
2012-11-01,310637.56,Historical
2012-12-01,319873.21,Historical
2013-01-01,261617.34,Historical
2013-02-01,259163.86,Historical
2013-03-01,309110.89,Historical
2013-04-01,295883.71,Historical
2013-05-01,328755.22,Historical
2013-06-01,365335.05,Historical
2013-07-01,385666.14,Historical
2013-08-01,327057.15,Historical
2013-09-01,307252.91,Historical
2013-10-01,271274.83,Historical
2013-11-01,298918.38,Historical
2013-12-01,326661.75,Historical
2014-01-01,356052.04,Historical
2014-02-01,365502.82,Historical
2014-03-01,406435.93,Historical
2014-04-01,385989.2,Historical
2014-05-01,456609.46,Historical
2014-06-01,425035.63,Historical
2014-07-01,419468.84,Historical
2014-08-01,358466.89,Historical
2014-09-01,307129.89,Historical
2014-10-01,334505.06,Historical
2014-11-01,325741.1,Historical
2014-12-01,318240.54,Historical
2015-01-01,291402.87,Historical
2015-02-01,286517.98,Historical
2015-03-01,359525.29,Historical
2015-04-01,323060.15,Historical
2015-05-01,390772.23,Historical
2015-06-01,421951.09,Historical
2015-07-01,379642.09,Historical
2015-08-01,353052.98,Historical
2015-09-01,339641.01,Historical
